,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
guna_snigdha,-0.17473833,0.13194686,-0.39575127,-0.20322132,0.06482735,0.22253503,0.2372561,0.07925011,-0.15220799,-0.34755152,0.25348547,-0.1675042,-0.2571761,0.3065081,-0.36448598,-0.10168035,0.046815563,-0.52544314,-0.15932937,0.21824145,0.07047553,-0.18143576,0.4335394,-0.14989081,0.036113303,-0.23568021,0.11189749,-0.049190916,-0.15581535,-0.07048473,0.31598997,0.19741133,0.051240176,0.068403244,-0.05959156,0.12018882,0.096349925,0.09503255,-0.058158565,0.06150723,0.041032143,0.01025527,0.18157513,0.09511064,0.22043926,-0.14499664,0.6132551,0.014606249,0.016347455,0.055244613,-0.21840109,-0.32576331,-0.048257448,-0.09018824,0.06680827,0.18622775,0.18304978,-0.07714429,-0.14836594,0.24784066,-0.059001148,-0.27417472,0.12748577,0.42662188
rasa_kashaya,0.077531755,0.121548176,-0.3891264,-0.0124956975,0.41732928,0.067881905,0.3661619,0.19929099,0.18130276,0.18159829,-0.0844331,-0.24547563,0.38147825,0.1964621,-0.20444036,0.13197859,-0.12659547,0.20423168,0.15173544,0.07715289,-0.2735906,-0.0824056,0.2970608,-0.29251948,-0.13558906,0.19231299,0.17666893,-0.08423613,-0.22001669,-0.04779739,0.11559417,-0.069144025,-0.022705827,0.45778316,-0.08769766,-0.36458558,-0.06256282,-0.18388566,-0.07645896,-0.09246882,0.21700256,-0.26123565,-0.34205157,0.30432022,0.18343814,0.0926226,0.26911357,0.08259409,0.4934755,-0.16279873,-0.024239691,0.08907727,-0.09079242,0.026989486,0.111548096,-0.20060353,-0.16919696,-0.23646124,-0.38131744,0.25799793,0.14159021,-0.35189888,-0.02090259,0.07099214
rasa_katu,0.16347906,-0.22947013,-0.02517165,-0.28658152,-0.22922212,0.19242434,0.1951309,-0.34575582,-0.031176303,0.08915753,0.3088151,-0.0009491237,0.029034877,-0.09551605,-0.09767921,0.21405579,0.38599765,-0.15173112,-0.48003334,0.13314654,0.17009698,-0.004382174,-0.19983466,0.031077543,-0.14087509,0.26848063,-0.16555247,0.03672538,0.0044047413,-0.20276551,-0.030221622,0.20575286,-0.29730392,-0.060763776,-0.026257737,0.30163798,0.29974878,-0.021577276,0.12826008,0.2736197,-0.19216797,0.2155263,-0.022328306,-0.1622286,0.114022955,0.19019316,0.21106122,-0.14785685,0.011668598,0.24241233,-0.08097917,-0.20191653,-0.1489639,-0.0040083732,0.1077888,-0.011462763,-0.15168644,-0.16544153,0.02968071,0.4068689,-0.31513378,0.18021591,0.08361385,-0.19420841
guna_ruksha,0.3162861,0.15648036,-0.11727093,-0.0776233,-0.037637036,0.02031897,0.23072194,-0.04336592,0.28520754,0.30015483,0.22247724,-0.32318524,0.21750747,-0.357929,0.016949013,0.11080168,0.03774702,0.061517056,-0.023136426,0.09155538,-0.08462695,0.30297968,-0.13633372,-0.0026244281,0.25775874,0.3233791,-0.23167484,-0.0055868085,-0.008565338,0.24703436,0.19634712,-0.2315616,-0.17203866,0.0554316,0.027686687,-0.18134207,0.1268585,-0.2949822,-0.21748735,0.10156394,0.08414156,0.23647186,-0.14815843,0.124400616,-0.29276532,0.15105096,0.23058869,0.11834206,0.549741,-0.047558807,0.16005753,0.49065843,-0.061265387,-0.06810425,0.06770778,-0.27910173,-0.22021733,-0.45982683,-0.41262388,0.3264243,-0.22913253,-0.19789872,-0.018695224,-0.15983368
guna_guru,-0.17858541,0.41643143,-0.30551815,-0.25407138,-0.03121041,0.1015594,0.2754387,-0.15439674,-0.120930366,-0.14644887,0.15751103,-0.22911099,-0.16876155,0.22150533,-0.3324327,-0.10265497,0.07560311,-0.23490661,-0.059111834,0.09931285,0.1962135,-0.17519005,0.34302104,-0.24934164,0.09871544,0.24446775,-0.050020587,-0.1495266,-0.19993694,-0.2749439,0.53518933,0.23204502,-0.29582047,0.14977205,0.2220519,-0.050569627,-0.13313161,-0.18999557,-0.22076422,0.59295595,-0.20337436,0.11663776,0.15160745,-0.1773499,0.31428504,-0.04803716,0.5269705,0.37828577,-0.14572594,-0.44341505,-0.10830885,-0.27918336,-0.116127074,0.0072104703,-0.24085769,0.25871643,-0.039651435,0.003881555,-0.4374301,0.036082603,-0.07699914,-0.40970907,-0.27262414,0.10732079
guna_tikshna,0.1021358,-0.12177955,0.09388571,-0.34634602,-0.14586368,0.18599546,0.15684658,-0.19197494,-0.13467878,0.16960533,0.27459922,0.18494245,0.080774635,0.13305359,0.004250253,0.3227486,0.14129455,-0.44211233,-0.468681,-0.016168462,0.18290487,-0.06651062,-0.22669612,-0.41162428,-0.19687364,0.11738328,0.37333983,-0.11304887,-0.21134791,-0.49422663,-0.27568236,0.19517209,-0.029934652,-0.120623544,-0.34708196,0.2646076,-0.010271449,0.2524606,0.39316323,0.1987102,0.06356847,-0.056168385,-0.0644332,-0.13891183,0.17491475,0.253282,-0.033984333,-0.24505179,0.13223435,0.07824491,-0.06045264,-0.67291665,0.11849855,-0.15594138,0.03271332,0.16215551,0.25759003,-0.045649204,-0.026139878,0.16394012,-0.0067922766,-0.07042989,0.12751119,-0.26433793
prabhav_deepana,-0.072804466,-0.20110486,-0.0024003976,0.355024,0.27294388,0.23669448,0.1025218,0.011335185,0.10226788,0.32411352,0.78294265,0.12169294,0.068691045,0.009532419,-0.25372973,0.14360754,0.04942495,-0.3700583,-0.31051666,-0.3673158,0.19526474,0.0076540434,0.33899665,0.15175965,-0.27219298,0.14129658,0.202889,0.03618079,0.32843667,-0.106647894,-0.29092336,0.23692597,-0.25485227,-0.3056511,-0.08988509,0.09163338,-0.06407336,-0.27812722,0.24497816,0.12829141,-0.084887095,0.13353483,-0.19309127,-0.046553873,0.07656407,0.059950866,0.27076533,0.24477653,0.7226219,0.21196279,-0.2937257,0.09969965,0.14176215,-0.14941767,0.20608762,0.11758133,0.00858507,-0.11300861,0.06625823,0.4481342,0.008528367,0.13129412,-0.0071221027,-0.086396985
prabhav_balya,-0.12489187,0.61829877,-0.34929827,0.0432291,0.18974014,0.32132405,-0.45763355,-0.05186843,-0.03408161,-0.10529965,0.48612976,-0.40239817,-0.3749168,0.4855779,-0.20735233,-0.31101263,0.19328934,0.21688685,0.12909345,0.09767401,0.26098087,0.2027997,0.3630574,-0.32292548,0.06448261,0.09527478,0.10717643,0.38660276,-0.19193317,-0.06214115,0.29065454,-0.1418379,-0.25894657,-0.44356948,0.37023604,0.031113945,-0.30192164,-0.24863724,-0.016015638,0.1339953,0.053662162,0.11812701,0.31479472,0.23001587,0.23961474,0.05890921,0.9148052,0.21237394,0.15847458,0.015372509,-0.16645712,-0.34032947,-0.27741417,-0.031167064,-0.06697193,0.010158779,-0.22025219,-0.27280983,0.07773528,0.29193372,-0.22440498,-0.41146573,0.16483071,0.005987672
prabhav_kushtaghna,0.30734777,0.08968913,-0.6639326,0.02092732,-0.072758116,-0.19626501,0.3120748,-0.19116907,0.12337837,-0.06081492,0.30143136,-0.22937778,-0.3528875,0.3065151,0.33673754,0.25569075,0.03164476,-0.34338215,-0.17069693,0.33638713,0.2585731,-0.07483159,0.15730992,-0.37020308,-0.18966016,-0.028656553,-0.24300234,0.041377984,-0.31281212,0.2045067,0.071723774,-0.15120392,0.35059145,0.13314547,-0.12810285,-0.31647152,0.36013424,0.18257333,-0.06458516,-0.10638222,-0.32597205,-0.18149988,-0.1359327,-0.06316644,-0.3204601,0.38078558,-0.07411387,-0.73579824,0.21198362,-0.4477848,0.5424268,-0.1744266,-0.4481855,0.14051412,-0.28098935,-0.008996981,0.345257,-0.3828663,-0.28532058,0.120626315,-0.38726094,-0.41424775,0.060956508,-0.12133881
prabhav_rasayan,0.13450143,-0.31437728,-0.29901844,-0.13364267,0.4131682,-0.3742364,0.5629235,0.41296276,0.37275156,-0.28823775,0.35666704,-0.17479973,-0.33154678,0.105281755,-0.48235184,-0.19773678,0.1279369,-0.19966464,0.047669433,-0.1746052,0.6154778,0.0060465937,0.12623268,0.5275775,-0.11625975,-0.29229045,-0.0077543473,-0.36647415,0.047955822,-0.45062643,0.5609334,-0.040522248,-0.20864648,0.147485,-0.06265674,-0.16787148,-0.020396685,-0.084245384,-0.23582485,-0.18753758,0.086746395,0.24919255,0.77589285,0.07982078,-0.032483175,-0.18218353,0.57015723,0.23417532,-0.21884236,-0.13947386,-0.0117896665,-0.16039069,-0.09729796,-0.009447256,-0.15265343,-0.11004196,0.35852918,-0.6653677,-0.14685985,0.48616335,-0.18474469,-0.094284795,-0.24542663,0.0930809
prabhav_vatahara,-0.5720232,0.013535631,-0.16016969,-0.1697868,-0.076585576,0.44343928,0.2716,-0.5008708,-0.03521815,-0.3511102,0.23407403,-0.16398688,-0.17393163,0.006578319,-0.13914385,0.15718172,0.1805186,0.099989094,-0.21225907,0.3253254,0.088354714,0.018879008,0.60250443,-0.21173471,0.20335086,-0.22552073,0.16660866,-0.7868091,0.1707816,0.006853244,0.14625195,0.250499,0.08143707,-0.03677089,0.43824583,0.025030158,-0.28698832,0.054312427,-0.056953095,0.34629464,0.14631006,0.49214092,0.55462414,0.3473124,0.60031277,0.44495282,-0.05953373,-0.21847892,-0.07632907,0.35216162,0.05649032,-0.113669254,0.06853352,-0.07277672,0.7212912,-0.50522697,-0.19406204,0.013357264,-0.11322049,0.04343063,-0.09771547,-0.5733409,-0.18569529,-0.3539728
prabhav_grahi,-0.09324848,0.06840662,-0.54189897,0.048737716,0.12172939,-0.20139126,0.16168773,-0.12099535,-0.0019217825,0.19911239,0.32861772,0.52482146,0.6962859,0.22150019,-0.0781901,0.09680128,-0.5959177,0.2399659,0.12830259,0.6276063,0.08046003,0.25695017,-0.029550817,-0.29912615,0.34786627,0.22471511,-0.24796022,-0.5677354,-0.05678199,0.27464992,-0.012429707,0.0956012,0.04678556,0.44131267,0.016731486,-0.4380542,-0.20275731,-0.17829478,0.17767696,0.20432939,0.45720738,0.1105773,0.0038819532,-0.1426355,0.029997054,-0.2242553,0.50609213,0.48417577,0.64672184,0.12429565,0.4103236,-0.047205344,0.06199839,-0.1279758,0.3713143,0.47333586,0.27915674,-0.10613948,-0.108089864,0.26708457,-0.094549194,-0.1523591,-0.19614846,0.010797347
prabhav_jwaraghna,-0.0582938,-0.31675562,0.096446924,-0.20688844,-0.3739787,-0.0025909885,0.028163904,0.4295967,0.3107949,0.23097111,0.61416394,-0.8864206,0.41566068,-0.2753682,-0.11194159,-0.27886912,-0.4668455,-0.024373617,-0.0058113327,0.29757917,0.26342672,-0.30469835,-0.5067344,-0.121281065,-0.03279023,-0.3560974,-0.12187403,-0.14464082,-0.2337039,-0.3455991,-0.2598377,0.10576078,0.41870546,0.30415365,-0.09669968,0.102292284,-0.04056143,-0.20864801,-0.27344283,-0.0518569,0.04011048,0.3466167,0.4010118,0.31587967,0.14440317,-0.07705185,0.088437736,-0.15549667,0.36378235,0.012230173,-0.7001235,-0.3374012,-0.3997929,-0.5334889,-0.3171924,0.037462145,0.27797088,-0.19215646,0.30573657,-0.07441349,0.043738686,-0.47712058,-0.0066792336,0.19243832
prabhav_vrishya,-0.038776226,0.074602365,-0.26094347,-0.4931628,0.5574539,-0.111282445,0.36464533,0.30005395,-0.24866338,-0.23303324,0.18401282,-0.36790884,-0.043623596,0.29953268,-0.025206713,0.06293581,0.44854125,-0.25492817,0.0011568636,-0.13424113,0.26158586,0.339386,-0.1968361,-0.5086123,0.3509274,0.10281102,-0.07393258,0.1406623,-0.47733948,-0.26757956,0.6145945,-0.1388442,0.13918129,0.076434,0.1211407,0.007219485,-0.2875779,0.10866382,-0.21593471,0.17680217,-0.40752146,0.30536777,0.42407268,-0.22136639,-0.5540142,0.03950893,0.6877274,0.17039889,0.21088499,0.6006446,-0.47771454,-0.3256749,-0.13835299,-0.26184484,-0.0069302423,0.079564214,-0.24110577,-0.42886466,-0.09867424,-0.19812998,-0.24151808,0.33642557,-0.41210493,0.28309172
prabhav_kasahara,0.15030588,0.009539094,0.12179824,0.22275117,0.5669258,-0.019048722,-0.39717695,0.064471275,0.25563574,-0.10460633,-0.004873084,-0.61354285,-0.104549006,-0.31710047,-0.48788053,0.1686005,0.12945242,-0.023121096,0.2272553,0.5219705,-0.31674722,-0.46208015,-0.08734447,-0.029609863,-0.26718494,0.17390245,-0.15861039,0.2260397,-0.34396836,-0.36995545,-0.14996779,0.30006358,-0.12141301,-0.097791605,0.4778316,0.1966254,0.25793052,-0.46011272,0.24471465,-0.0020030004,-0.06303927,-0.09917999,-0.28294912,-0.005183073,0.2754462,0.06493058,0.08657402,-0.115517534,-0.0056425724,0.30178767,-0.24402057,-0.5138325,0.30198097,0.110166125,-0.28615776,0.076927006,0.08899635,-0.47188503,-0.53841925,0.92379117,-0.05234081,0.18929537,-0.5316094,-0.15860336
prabhav_shothahara,-0.22981995,0.1205408,0.21806842,-0.52887946,-0.078875765,0.29156104,-0.13611263,0.2331574,0.5569047,0.055224303,-0.2179983,-0.27231395,-0.24034385,0.3934441,-0.082704745,0.53673255,-0.23825148,-0.28614107,0.15900727,0.00428421,0.25311184,0.23137268,-0.6776522,-0.08257069,0.21552761,0.28066292,-0.023034813,-0.570041,-0.025481137,0.016727408,0.46330255,0.2534857,-0.29822603,-0.37073112,-0.27508527,0.06113692,0.17573205,0.07536212,-0.6009959,-0.25930265,0.28373644,-0.647649,-0.10723199,0.25242597,0.40813717,0.5154407,0.29162034,0.19335157,-0.1799365,0.3141854,0.25863975,-0.36014682,0.019150324,-0.1541174,0.58968174,0.18003283,-0.4591911,-0.44804463,-0.11853474,0.21149233,-0.02953957,-0.083517455,0.32663545,0.13835175
prabhav_hridaya,-0.41672418,0.39062205,-0.1568705,0.23461288,0.26093554,-0.12782133,0.65696037,0.1707119,-0.10207844,-0.5200572,0.46910733,-0.5817669,-0.12514791,-0.55022997,-0.06566955,-0.21977174,0.28783265,-0.04230262,-0.29425114,-0.5223729,-0.1061567,0.079529904,-0.37089646,0.11342162,-0.63270444,-0.04638688,0.30462068,0.03133122,-0.33968636,0.37110308,0.21789095,-0.1792956,-0.28023413,0.05122383,-0.26213056,0.08003004,-0.41710067,0.19708782,0.38830358,-0.27918673,-0.040347446,-0.28154472,0.03633654,-0.1138437,-0.0024930788,-0.31939995,0.48685238,0.017019983,0.2291829,0.15929766,0.3470627,-0.60398215,0.3537142,0.14592321,0.5328908,0.14652172,0.1808221,-0.18117426,-0.38902336,-0.012236605,-0.7997896,-0.22081858,0.029270846,-0.15851742
prabhav_pachana,-0.022020249,0.068747304,0.29541537,0.12686808,0.17126217,0.1927351,-0.09279058,0.21897368,0.07159734,0.34015572,0.17243536,0.22374801,0.54798573,0.008737873,0.18003613,0.04627088,0.12832889,-0.69351697,-0.22805867,0.115933746,0.6918766,0.18649212,0.26044428,-0.31141764,-0.40605867,0.08026315,0.00016621246,0.080236904,-0.20798796,0.12090412,0.029299961,0.4614611,-0.6593543,-0.31423873,-0.15349415,0.20195986,-0.02198425,-0.081628375,0.38604665,-0.06634089,-0.15522392,-0.04039053,0.04618284,-0.14392808,0.22721665,0.19104691,0.39383945,0.41336134,0.702863,0.23343375,-0.08968267,0.26656032,-0.3213286,0.10197133,-0.0011454249,-0.030424634,0.33949322,-0.11858604,0.6332641,0.10339156,-0.2462289,-0.03964106,-0.16435651,0.37448388
prabhav_krimighna,0.6172208,-0.064801365,0.43194547,0.35221067,-0.40353248,-0.037024364,0.445262,-0.25037423,0.16307864,-0.06872187,0.29677972,0.22714849,-0.2894909,0.15521409,0.24113873,0.037808735,0.07966822,0.25413662,-0.3275401,0.16015625,-0.21266963,0.2145714,0.11112154,-0.08002009,0.14688607,0.26877582,0.009601779,-0.21323432,0.5278692,-0.37320572,-0.20299882,-0.025131391,-0.071356036,0.58598566,-0.16420041,0.3310646,0.26018193,-0.57958627,-0.10575195,0.12102174,0.014052654,-0.27749473,0.3046422,-0.19314465,0.2756,0.36399722,0.55884576,-0.42961058,0.03685354,-0.0054170815,0.1798109,-0.24302131,-0.03990649,0.08618561,-0.08848028,0.060479052,0.47679764,-0.57864875,-0.1790421,0.15089723,0.16127987,-0.31421986,0.21084347,0.83256525
prabhav_medhya,-0.23458494,0.12776735,-0.25038385,-0.30336553,0.4760928,0.3554631,0.4295943,0.9270986,-0.22921294,0.2012665,0.3071956,-0.50865465,0.24847612,0.71150506,0.20558901,-0.24943174,0.58685666,-0.20591737,-0.19786596,-0.07607072,-0.18532583,0.20189294,-0.3758751,0.13355124,-0.009457478,-0.0897838,-0.44713366,-0.1508172,0.28092477,-0.3662884,0.40801537,0.07409258,0.15043543,-0.35750544,0.0536521,-0.087911,-0.02237637,0.2018144,-0.010441494,-0.31137925,0.088091485,0.06319151,0.005514689,-0.023255639,0.7307413,0.248536,0.53783625,0.13101576,-0.4529134,-0.00016852439,0.019391084,0.12158391,0.12586959,-0.0051738345,0.070792936,-0.16809481,0.7739872,0.049041744,-0.32847422,0.41785148,0.017494613,-0.36337298,-0.23669012,0.013418278
prabhav_mutrala,-0.2661517,-0.059767894,-0.34607032,-0.4021064,0.20014496,0.40013555,0.058579803,-0.1610053,0.22015677,0.40438148,0.04433444,-0.35210767,0.21887374,0.10414733,-0.5756685,0.22994027,0.06540026,-0.15106848,-0.26874265,-0.20193332,-0.25808403,0.72856045,0.43995988,0.43459097,0.23271205,-0.021934956,0.23380935,-0.014444289,0.27014592,0.14257298,0.46021467,-0.07122666,-0.26458246,-0.18292676,0.06744127,0.43169147,-0.5406279,-0.38500053,-0.20784022,-0.22497322,-0.06843988,-0.4564914,0.11713274,-0.57235336,-0.3344573,0.22274277,-0.19942543,-0.770344,0.27303743,0.49765423,-0.2180171,-0.24458738,-0.09674753,0.06884052,-0.462743,0.18223964,-0.104961365,-0.23133738,-0.37264934,-0.13939694,-0.13453537,-0.48102546,0.3164318,0.4350015
prabhav_lekhana,-0.38535827,-0.29977146,-0.039154172,0.24249533,0.18919371,0.11437151,0.1680938,0.1032122,0.061357588,0.24309437,-0.44923973,-0.18928452,-0.21782444,-0.01226224,-0.09498529,0.34803307,0.6185066,-0.4295174,-0.29033908,0.24613926,-0.16963252,0.53276855,0.0677883,-0.2547254,0.21548866,0.19638665,-0.06890142,-0.045846045,0.049815513,-0.6956648,-0.11152028,-0.12906174,-0.18424842,0.1813159,-0.7839718,0.22092007,-0.27246028,0.0058394107,-0.43017295,0.46968663,0.431888,0.07176301,-0.2649776,0.10242286,-0.12634334,-0.7449605,0.116163,0.276519,0.22087443,-0.3488255,-0.22941838,0.0496118,-0.30263847,0.3675475,0.1275829,-0.13459426,-0.073742315,-0.44515616,-0.5431968,0.30180547,-0.12967196,-0.20681721,0.14311644,-0.24833319
